_DATE	host	cpuusage	memusage	nodecpu	locustusers	fails1	requests1	fails	requests	
2017-04-09-15:58:00	middletier-2vpks	136.0	1.03661568E9	0.09825000166893005	0.0	2532.0	32772.0	2550.0	32310.0	
2017-04-09-15:58:00	middletier-2vpks	136.0	1.03661568E9	0.09825000166893005	0.0	2532.0	32772.0	2550.0	32310.0	
2017-04-09-15:57:00	middletier-2vpks	999.0	1.034289152E9	0.09875000268220901	0.0	2532.0	32772.0	2550.0	32310.0	
2017-04-09-15:57:00	middletier-2vpks	999.0	1.034289152E9	0.09875000268220901	0.0	2532.0	32772.0	2550.0	32310.0	
2017-04-09-15:56:00	middletier-2vpks	997.0	1.03368704E9	0.0989999994635582	600.0	2096.0	30815.0	2026.0	30370.0	
2017-04-09-15:56:00	middletier-2vpks	997.0	1.03368704E9	0.0989999994635582	600.0	2096.0	30815.0	2026.0	30370.0	
2017-04-09-15:55:00	middletier-2vpks	997.0	1.034334208E9	0.09674999862909317	600.0	1658.0	28819.0	1578.0	28404.0	
2017-04-09-15:55:00	middletier-2vpks	997.0	1.034334208E9	0.09674999862909317	600.0	1658.0	28819.0	1578.0	28404.0	
2017-04-09-15:54:00	middletier-2vpks	1000.0	1.03254016E9	0.12200000137090683	600.0	1221.0	26843.0	1158.0	26468.0	
2017-04-09-15:54:00	middletier-2vpks	1000.0	1.03254016E9	0.12200000137090683	600.0	1221.0	26843.0	1158.0	26468.0	
2017-04-09-15:53:00	middletier-2vpks	984.0	1.033220096E9	0.10100000351667404	500.0	808.0	24897.0	746.0	24527.0	
2017-04-09-15:53:00	middletier-2vpks	984.0	1.033220096E9	0.10100000351667404	500.0	808.0	24897.0	746.0	24527.0	
2017-04-09-15:52:00	middletier-2vpks	991.0	1.031647232E9	0.0925000011920929	500.0	469.0	22947.0	416.0	22596.0	
2017-04-09-15:52:00	middletier-2vpks	991.0	1.031647232E9	0.0925000011920929	500.0	469.0	22947.0	416.0	22596.0	
2017-04-09-15:51:00	middletier-2vpks	950.0	1.032409088E9	0.09449999779462814	500.0	260.0	21140.0	237.0	20871.0	
2017-04-09-15:51:00	middletier-2vpks	950.0	1.032409088E9	0.09449999779462814	500.0	260.0	21140.0	237.0	20871.0	
2017-04-09-15:50:00	middletier-2vpks	952.0	1.02955008E9	0.09650000184774399	400.0	184.0	19579.0	162.0	19294.0	
2017-04-09-15:50:00	middletier-2vpks	952.0	1.02955008E9	0.09650000184774399	400.0	184.0	19579.0	162.0	19294.0	
2017-04-09-15:49:00	middletier-2vpks	916.0	1.028841472E9	0.09175000339746475	400.0	133.0	18006.0	115.0	17736.0	
2017-04-09-15:49:00	middletier-2vpks	916.0	1.028841472E9	0.09175000339746475	400.0	133.0	18006.0	115.0	17736.0	
2017-04-09-15:48:00	middletier-2vpks	865.0	1.028276224E9	0.09125000238418579	400.0	82.0	16512.0	68.0	16275.0	
2017-04-09-15:48:00	middletier-2vpks	865.0	1.028276224E9	0.09125000238418579	400.0	82.0	16512.0	68.0	16275.0	
2017-04-09-15:47:00	middletier-2vpks	864.0	1.026674688E9	0.08824999630451202	350.0	56.0	15129.0	41.0	14906.0	
2017-04-09-15:47:00	middletier-2vpks	864.0	1.026674688E9	0.08824999630451202	350.0	56.0	15129.0	41.0	14906.0	
2017-04-09-15:46:00	middletier-2vpks	825.0	1.027301376E9	0.08375000208616257	350.0	36.0	13736.0	32.0	13535.0	
2017-04-09-15:46:00	middletier-2vpks	825.0	1.027301376E9	0.08375000208616257	350.0	36.0	13736.0	32.0	13535.0	
2017-04-09-15:45:00	middletier-2vpks	747.0	1.02656E9	0.08624999970197678	350.0	31.0	12419.0	18.0	12254.0	
2017-04-09-15:45:00	middletier-2vpks	747.0	1.02656E9	0.08624999970197678	350.0	31.0	12419.0	18.0	12254.0	
2017-04-09-15:44:00	middletier-2vpks	751.0	1.02514688E9	0.10999999940395355	300.0	20.0	11227.0	18.0	11065.0	
2017-04-09-15:44:00	middletier-2vpks	751.0	1.02514688E9	0.10999999940395355	300.0	20.0	11227.0	18.0	11065.0	
2017-04-09-15:43:00	middletier-2vpks	693.0	1.022636032E9	0.07900000363588333	300.0	5.0	10052.0	6.0	9877.0	
2017-04-09-15:43:00	middletier-2vpks	693.0	1.022636032E9	0.07900000363588333	300.0	5.0	10052.0	6.0	9877.0	
2017-04-09-15:42:00	middletier-2vpks	633.0	1.022828544E9	0.0794999971985817	300.0	1.0	8922.0	0.0	8813.0	
2017-04-09-15:42:00	middletier-2vpks	633.0	1.022828544E9	0.0794999971985817	300.0	1.0	8922.0	0.0	8813.0	
2017-04-09-15:41:00	middletier-2vpks	606.0	1.023414272E9	0.0767500028014183	250.0	1.0	7934.0	0.0	7824.0	
2017-04-09-15:41:00	middletier-2vpks	606.0	1.023414272E9	0.0767500028014183	250.0	1.0	7934.0	0.0	7824.0	
2017-04-09-15:40:00	middletier-2vpks	557.0	1.022509056E9	0.06949999928474426	250.0	1.0	6951.0	0.0	6837.0	
2017-04-09-15:40:00	middletier-2vpks	557.0	1.022509056E9	0.06949999928474426	250.0	1.0	6951.0	0.0	6837.0	
2017-04-09-15:39:00	middletier-2vpks	486.0	1.022971904E9	0.07074999809265137	250.0	0.0	6019.0	0.0	5955.0	
2017-04-09-15:39:00	middletier-2vpks	486.0	1.022971904E9	0.07074999809265137	250.0	0.0	6019.0	0.0	5955.0	
2017-04-09-15:38:00	middletier-2vpks	463.0	1.022918656E9	0.0754999965429306	200.0	0.0	5239.0	0.0	5168.0	
2017-04-09-15:38:00	middletier-2vpks	463.0	1.022918656E9	0.0754999965429306	200.0	0.0	5239.0	0.0	5168.0	
2017-04-09-15:37:00	middletier-2vpks	451.0	1.02305792E9	0.06274999678134918	200.0	0.0	4442.0	0.0	4369.0	
2017-04-09-15:37:00	middletier-2vpks	451.0	1.02305792E9	0.06274999678134918	200.0	0.0	4442.0	0.0	4369.0	
2017-04-09-15:36:00	middletier-2vpks	381.0	1.022558208E9	0.06925000250339508	200.0	0.0	3713.0	0.0	3693.0	
2017-04-09-15:36:00	middletier-2vpks	381.0	1.022558208E9	0.06925000250339508	200.0	0.0	3713.0	0.0	3693.0	
2017-04-09-15:35:00	middletier-2vpks	323.0	1.022078976E9	0.06624999642372131	150.0	0.0	3148.0	0.0	3092.0	
2017-04-09-15:35:00	middletier-2vpks	323.0	1.022078976E9	0.06624999642372131	150.0	0.0	3148.0	0.0	3092.0	
2017-04-09-15:34:00	middletier-2vpks	320.0	1.0213376E9	0.08250000327825546	150.0	0.0	2485.0	0.0	2501.0	
2017-04-09-15:34:00	middletier-2vpks	320.0	1.0213376E9	0.08250000327825546	150.0	0.0	2485.0	0.0	2501.0	
2017-04-09-15:33:00	middletier-2vpks	253.0	1.021239296E9	0.06350000202655792	150.0	0.0	1996.0	0.0	2033.0	
2017-04-09-15:33:00	middletier-2vpks	253.0	1.021239296E9	0.06350000202655792	150.0	0.0	1996.0	0.0	2033.0	
2017-04-09-15:32:00	middletier-2vpks	228.0	1.02150144E9	0.057999998331069946	100.0	0.0	1594.0	0.0	1632.0	
2017-04-09-15:32:00	middletier-2vpks	228.0	1.02150144E9	0.057999998331069946	100.0	0.0	1594.0	0.0	1632.0	
2017-04-09-15:31:00	middletier-2vpks	182.0	1.021558784E9	0.05525000020861626	100.0	0.0	1199.0	0.0	1232.0	
2017-04-09-15:31:00	middletier-2vpks	182.0	1.021558784E9	0.05525000020861626	100.0	0.0	1199.0	0.0	1232.0	
2017-04-09-15:30:00	middletier-2vpks	121.0	1.0206208E9	0.05350000038743019	100.0	0.0	914.0	0.0	949.0	
2017-04-09-15:30:00	middletier-2vpks	121.0	1.0206208E9	0.05350000038743019	100.0	0.0	914.0	0.0	949.0	
2017-04-09-15:29:00	middletier-2vpks	111.0	1.020530688E9	0.0560000017285347	50.0	0.0	709.0	0.0	746.0	
2017-04-09-15:29:00	middletier-2vpks	111.0	1.020530688E9	0.0560000017285347	50.0	0.0	709.0	0.0	746.0	
2017-04-09-15:28:00	middletier-2vpks	88.0	1.02014976E9	0.051500000059604645	50.0	0.0	511.0	0.0	549.0	
2017-04-09-15:28:00	middletier-2vpks	88.0	1.02014976E9	0.051500000059604645	50.0	0.0	511.0	0.0	549.0	
2017-04-09-15:27:00	middletier-2vpks	45.0	1.0211328E9	0.048500001430511475	50.0	0.0	377.0	0.0	428.0	
2017-04-09-15:27:00	middletier-2vpks	45.0	1.0211328E9	0.048500001430511475	50.0	0.0	377.0	0.0	428.0	
2017-04-09-15:26:00	middletier-2vpks	46.0	1.020137472E9	0.0507499985396862	20.0	0.0	298.0	0.0	348.0	
2017-04-09-15:26:00	middletier-2vpks	46.0	1.020137472E9	0.0507499985396862	20.0	0.0	298.0	0.0	348.0	
2017-04-09-15:25:00	middletier-2vpks	45.0	1.02111232E9	0.04600000008940697	20.0	0.0	221.0	0.0	269.0	
2017-04-09-15:25:00	middletier-2vpks	45.0	1.02111232E9	0.04600000008940697	20.0	0.0	221.0	0.0	269.0	
2017-04-09-15:24:00	middletier-2vpks	31.0	1.021104128E9	0.0729999989271164	20.0	0.0	163.0	0.0	217.0	
2017-04-09-15:24:00	middletier-2vpks	31.0	1.021104128E9	0.0729999989271164	20.0	0.0	163.0	0.0	217.0	
2017-04-09-15:23:00	middletier-2vpks	27.0	1.020215296E9	0.04450000077486038	10.0	0.0	123.0	0.0	175.0	
2017-04-09-15:23:00	middletier-2vpks	27.0	1.020215296E9	0.04450000077486038	10.0	0.0	123.0	0.0	175.0	
2017-04-09-15:22:00	middletier-2vpks	21.0	1.02107136E9	0.04724999889731407	10.0	0.0	84.0	0.0	132.0	
2017-04-09-15:22:00	middletier-2vpks	21.0	1.02107136E9	0.04724999889731407	10.0	0.0	84.0	0.0	132.0	
2017-04-09-15:21:00	middletier-2vpks	14.0	1.020280832E9	0.048500001430511475	10.0	0.0	60.0	0.0	103.0	
2017-04-09-15:21:00	middletier-2vpks	14.0	1.020280832E9	0.048500001430511475	10.0	0.0	60.0	0.0	103.0	
2017-04-09-15:20:00	middletier-2vpks	12.0	1.02107136E9	0.0442500002682209	5.0	0.0	43.0	0.0	78.0	
2017-04-09-15:20:00	middletier-2vpks	12.0	1.02107136E9	0.0442500002682209	5.0	0.0	43.0	0.0	78.0	
2017-04-09-15:19:00	middletier-2vpks	11.0	1.020153856E9	0.04924999922513962	5.0	0.0	27.0	0.0	52.0	
2017-04-09-15:19:00	middletier-2vpks	11.0	1.020153856E9	0.04924999922513962	5.0	0.0	27.0	0.0	52.0	
2017-04-09-15:18:00	middletier-2vpks	8.0	1.021530112E9	0.04650000110268593	5.0	0.0	17.0	0.0	34.0	
2017-04-09-15:18:00	middletier-2vpks	8.0	1.021530112E9	0.04650000110268593	5.0	0.0	17.0	0.0	34.0	
2017-04-09-15:17:00	middletier-2vpks	6.0	1.020420096E9	0.0494999997317791	3.0	0.0	9.0	0.0	34.0	
2017-04-09-15:17:00	middletier-2vpks	6.0	1.020420096E9	0.0494999997317791	3.0	0.0	9.0	0.0	34.0	
2017-04-09-15:16:00	middletier-2vpks	5.0	1.021468672E9	0.04475000128149986	3.0	0.0	9.0	0.0	18.0	
2017-04-09-15:16:00	middletier-2vpks	5.0	1.021468672E9	0.04475000128149986	3.0	0.0	9.0	0.0	18.0	
2017-04-09-15:15:00	middletier-2vpks	2.0	1.021468672E9	0.05525000020861626	3.0	null	null	null	null	
2017-04-09-15:15:00	middletier-2vpks	2.0	1.021468672E9	0.05525000020861626	3.0	null	null	null	null	
2017-04-09-15:14:00	middletier-2vpks	1.0	null	null	0.0	null	null	null	null	
2017-04-09-15:14:00	middletier-2vpks	1.0	null	null	0.0	null	null	null	null	
