_DATE	host	nodecpu	
2017-04-09-18:40:00	null	0.9942499995231628	
2017-04-09-18:39:00	null	0.9955000281333923	
2017-04-09-18:38:00	null	0.9952499866485596	
2017-04-09-18:37:00	null	0.9932500123977661	
2017-04-09-18:36:00	null	0.9957500100135803	
2017-04-09-18:35:00	null	0.9955000281333923	
2017-04-09-18:34:00	null	0.9942499995231628	
2017-04-09-18:33:00	null	0.9952499866485596	
2017-04-09-18:32:00	null	0.9957500100135803	
2017-04-09-18:31:00	null	0.9940000176429749	
2017-04-09-18:30:00	null	0.9957500100135803	
2017-04-09-18:29:00	null	0.9955000281333923	
2017-04-09-18:28:00	null	0.9950000047683716	
2017-04-09-18:27:00	null	0.9957500100135803	
2017-04-09-18:26:00	null	0.9957500100135803	
2017-04-09-18:25:00	null	0.9952499866485596	
2017-04-09-18:24:00	null	0.9957500100135803	
2017-04-09-18:23:00	null	0.9952499866485596	
2017-04-09-18:22:00	null	0.9955000281333923	
2017-04-09-18:21:00	null	0.9957500100135803	
2017-04-09-18:20:00	null	0.9957500100135803	
2017-04-09-18:19:00	null	0.9955000281333923	
2017-04-09-18:18:00	null	0.9957500100135803	
2017-04-09-18:17:00	null	0.9955000281333923	
2017-04-09-18:16:00	null	0.9955000281333923	
2017-04-09-18:15:00	null	0.9957500100135803	
2017-04-09-18:14:00	null	0.9955000281333923	
2017-04-09-18:13:00	null	0.9952499866485596	
2017-04-09-18:12:00	null	0.9957500100135803	
2017-04-09-18:11:00	null	0.9957500100135803	
2017-04-09-18:10:00	null	0.6102499961853027	
2017-04-09-18:09:00	null	0.04650000110268593	
