_DATE,cpuusage_middle,memusage_middle,cpuusage_server,memusage_server,cpuusage_edge,memusage_edge,nodecpu61,nodecpu62,nodecpu63,nodecpu64,nodemem64,locustusers,status_200_count1,status_500_count1,status_0_count1,status_other_count1,status_200_count2,status_500_count2,status_0_count2,status_other_count2,responseTimePercentile_middle,responseTimePercentile_edge
Sun Apr 23 22:21:00 CEST 2017,629,1075429376,48,28352512,225,1058144256,0,0.305750012397766,0.158999994397163,0.959249973297119,0.943939328193665,600,24070,130,607,0,23990,98,634,null,null,null
Sun Apr 23 22:20:00 CEST 2017,609,1018478592,49,29298688,226,1054257152,0,0.304749995470047,0.15174999833107,0.959249973297119,0.943787634372711,600,23067,124,502,0,22987,93,522,null,null,null
Sun Apr 23 22:19:00 CEST 2017,628,929382400,50,27602944,229,1032343552,0,0.313749998807907,0.159250006079674,0.959249973297119,0.943261206150055,600,22065,122,395,0,21999,87,417,null,null,null
Sun Apr 23 22:18:00 CEST 2017,640,863301632,50,27521024,227,1021632512,0,0.316000014543533,0.155499994754791,0.958249986171722,0.942738175392151,500,21051,119,336,0,20986,86,371,null,null,null
Sun Apr 23 22:17:00 CEST 2017,641,759918592,50,28561408,232,1005232128,0,0.306250005960464,0.153249993920326,0.958249986171722,0.942405939102173,500,20046,112,233,0,20007,82,260,null,null,null
Sun Apr 23 22:16:00 CEST 2017,641,706326528,47,27496448,222,986804224,0,0.310750007629395,0.158500000834465,0.96025002002716,0.94303172826767,500,19042,112,184,0,19005,78,203,null,null,null
Sun Apr 23 22:15:00 CEST 2017,623,703029248,49,27488256,224,958824448,0,0.311500012874603,0.148750007152557,0.96025002002716,0.944794058799744,400,18038,109,134,0,18009,74,153,null,null,null
Sun Apr 23 22:14:00 CEST 2017,638,733208576,49,29249536,225,935858176,0,0.309249997138977,0.153750002384186,0.960500001907349,0.944079756736755,400,17047,106,84,0,17016,73,88,null,null,null
Sun Apr 23 22:13:00 CEST 2017,639,736083968,49,28667904,221,916086784,0,0.312000006437302,0.159749999642372,0.960500001907349,0.942753314971924,400,16044,99,53,0,16026,70,58,null,null,null
Sun Apr 23 22:12:00 CEST 2017,643,726056960,49,27615232,224,906244096,0,0.305750012397766,0.158749997615814,0.96025002002716,0.941650986671448,350,15031,95,27,0,15037,64,26,null,null,null
Sun Apr 23 22:11:00 CEST 2017,644,726970368,47,28680192,217,884178944,0,0.311749994754791,0.150999993085861,0.961000025272369,0.941839873790741,350,14035,88,1,0,14041,63,3,null,null,null
Sun Apr 23 22:10:00 CEST 2017,617,771309568,48,28352512,221,862973952,0,0.305500000715256,0.154750004410744,0.960749983787537,0.943418264389038,350,13035,87,1,0,13032,59,2,null,null,null
Sun Apr 23 22:09:00 CEST 2017,619,778162176,49,28663808,229,824233984,0,0.30774998664856,0.156749993562698,0.960749983787537,0.944765686988831,300,12035,83,1,0,12046,54,1,null,null,null
Sun Apr 23 22:08:00 CEST 2017,634,823316480,48,26869760,232,800587776,0,0.30799999833107,0.15174999833107,0.959500014781952,0.943192720413208,300,11024,77,0,0,11063,48,1,null,null,null
Sun Apr 23 22:07:00 CEST 2017,624,866791424,48,27734016,228,765779968,0,0.302249997854233,0.150749996304512,0.959999978542328,0.934444069862366,300,10013,75,0,0,10058,47,0,null,null,null
Sun Apr 23 22:06:00 CEST 2017,613,878018560,46,27738112,225,748531712,0,0.295249998569488,0.160500004887581,0.960500001907349,0.932354390621185,250,9020,74,0,0,9065,43,0,null,null,null
Sun Apr 23 22:05:00 CEST 2017,609,865206272,40,28807168,205,718561280,0,0.279749989509583,0.142250001430512,0.962999999523163,0.928655982017517,250,8019,71,0,0,8078,42,0,null,null,null
Sun Apr 23 22:04:00 CEST 2017,526,869797888,39,28803072,189,684924928,0,0.261500000953674,0.135749995708466,0.965250015258789,0.925985515117645,250,7038,67,0,0,7080,41,0,null,null,null
Sun Apr 23 22:03:00 CEST 2017,503,833609728,35,28635136,184,670318592,0,0.244749993085861,0.133499994874001,0.966000020503998,0.922895312309265,200,6110,65,0,0,6134,40,0,null,null,null
Sun Apr 23 22:02:00 CEST 2017,471,802185216,30,26877952,183,648720384,0,0.231499999761581,0.128499999642372,0.968999981880188,0.922635495662689,200,5321,60,0,0,5349,36,0,null,null,null
Sun Apr 23 22:01:00 CEST 2017,421,776617984,27,26865664,158,629624832,0,0.212249994277954,0.113750003278255,0.972500026226044,0.917987406253815,200,4528,60,0,0,4554,36,0,null,null,null
Sun Apr 23 22:00:00 CEST 2017,362,754634752,27,27967488,158,620744704,0,0.214750006794929,0.117250002920628,0.972500026226044,0.917035758495331,150,3796,54,0,0,3800,34,0,null,null,null
Sun Apr 23 21:59:00 CEST 2017,373,735240192,21,27717632,165,617189376,0,0.185000002384186,0.10700000077486,0.974749982357025,0.916553378105164,150,3205,54,0,0,3206,34,0,null,null,null
Sun Apr 23 21:58:00 CEST 2017,320,710696960,18,26882048,146,603045888,null,0.172499999403954,0.090499997138977,0.977500021457672,0.91494607925415,150,2603,54,0,0,2608,34,0,null,null,null
Sun Apr 23 21:57:00 CEST 2017,292,694300672,18,26873856,134,602976256,null,0.179250001907349,0.092749997973442,0.978250026702881,0.916497111320496,100,2069,47,0,0,2068,28,0,null,null,null
Sun Apr 23 21:56:00 CEST 2017,300,680333312,13,27262976,121,605945856,null,0.144999995827675,0.095749996602535,0.980250000953674,0.915283679962158,100,1670,47,0,0,1676,28,0,null,null,null
Sun Apr 23 21:55:00 CEST 2017,204,678531072,9,26185728,91,598233088,null,0.127250000834465,0.068000003695488,0.9825000166893,0.914158403873444,100,1273,47,0,0,1275,28,0,null,null,null
Sun Apr 23 21:54:00 CEST 2017,158,686485504,9,25489408,83,596451328,null,0.125249996781349,0.077749997377396,0.983250021934509,0.9140864610672,50,942,41,0,0,926,22,0,null,null,null
Sun Apr 23 21:53:00 CEST 2017,172,709095424,6,25489408,78,594264064,null,0.108750000596046,0.067249998450279,0.984749972820282,0.913480758666992,50,748,41,0,0,730,22,0,null,null,null
Sun Apr 23 21:52:00 CEST 2017,123,738844672,4,26562560,39,584302592,null,0.091250002384186,0.060499999672175,0.98675000667572,0.912549674510956,50,552,41,0,0,531,22,0,null,null,null
Sun Apr 23 21:51:00 CEST 2017,78,741535744,3,25489408,42,578285568,null,0.095499999821186,0.052749998867512,0.986249983310699,0.911921918392181,20,384,41,0,0,362,22,0,null,null,null
Sun Apr 23 21:50:00 CEST 2017,84,741179392,2,26562560,35,571273216,null,0.082000002264977,0.059000000357628,0.986999988555908,0.910331308841705,20,304,41,0,0,280,22,0,null,null,null
Sun Apr 23 21:49:00 CEST 2017,68,702754816,2,25489408,22,559828992,null,0.084499999880791,0.056499999016523,0.987749993801117,0.908942759037018,20,227,41,0,0,203,22,0,null,null,null
Sun Apr 23 21:48:00 CEST 2017,57,700399616,2,26562560,27,557871104,null,0.082000002264977,0.054999999701977,0.987500011920929,0.908824324607849,10,162,41,0,0,139,22,0,null,null,null
Sun Apr 23 21:47:00 CEST 2017,56,694161408,1,25489408,28,545259520,null,0.079499997198582,0.057750001549721,0.987999975681305,0.906043350696564,10,120,41,0,0,102,22,0,null,null,null
Sun Apr 23 21:46:00 CEST 2017,53,684826624,0,25489408,18,526622720,null,0.069250002503395,0.052999999374151,0.988749980926514,0.905845642089844,10,81,41,0,0,63,22,0,null,null,null
Sun Apr 23 21:45:00 CEST 2017,41,618622976,0,26562560,16,525291520,null,0.080750003457069,0.046750001609326,0.988499999046326,0.906826674938202,5,48,41,0,0,31,22,0,null,null,null
Sun Apr 23 21:44:00 CEST 2017,76,563376128,0,26562560,10,490594304,null,0.109250001609325,0.051249999552965,0.989000022411346,0.902681052684784,5,23,41,0,0,16,22,0,null,null,null
