_DATE	host	cpuusage	memusage	
2017-03-11-18:43:00	edge-sjsht	159.0	9.61671168E8	
2017-03-11-18:43:00	edge-sjsht	159.0	9.61671168E8	
2017-03-11-18:42:00	edge-sjsht	152.0	9.52029184E8	
2017-03-11-18:42:00	edge-sjsht	152.0	9.52029184E8	
2017-03-11-18:41:00	edge-sjsht	150.0	9.43099904E8	
2017-03-11-18:41:00	edge-sjsht	150.0	9.43099904E8	
2017-03-11-18:40:00	edge-sjsht	135.0	9.37345024E8	
2017-03-11-18:40:00	edge-sjsht	135.0	9.37345024E8	
2017-03-11-18:39:00	edge-sjsht	135.0	9.28169984E8	
2017-03-11-18:39:00	edge-sjsht	135.0	9.28169984E8	
2017-03-11-18:38:00	edge-sjsht	138.0	9.22279936E8	
2017-03-11-18:38:00	edge-sjsht	138.0	9.22279936E8	
2017-03-11-18:37:00	edge-sjsht	118.0	9.14894848E8	
2017-03-11-18:37:00	edge-sjsht	118.0	9.14894848E8	
2017-03-11-18:36:00	edge-sjsht	116.0	9.11159296E8	
2017-03-11-18:36:00	edge-sjsht	116.0	9.11159296E8	
2017-03-11-18:35:00	edge-sjsht	114.0	9.07063296E8	
2017-03-11-18:35:00	edge-sjsht	114.0	9.07063296E8	
2017-03-11-18:34:00	edge-sjsht	102.0	9.03487488E8	
2017-03-11-18:34:00	edge-sjsht	102.0	9.03487488E8	
2017-03-11-18:33:00	edge-sjsht	97.0	9.0058752E8	
2017-03-11-18:33:00	edge-sjsht	97.0	9.0058752E8	
2017-03-11-18:32:00	edge-sjsht	92.0	8.98351104E8	
2017-03-11-18:32:00	edge-sjsht	92.0	8.98351104E8	
2017-03-11-18:31:00	edge-sjsht	82.0	8.96176128E8	
2017-03-11-18:31:00	edge-sjsht	82.0	8.96176128E8	
2017-03-11-18:30:00	edge-sjsht	77.0	8.94930944E8	
2017-03-11-18:30:00	edge-sjsht	77.0	8.94930944E8	
2017-03-11-18:29:00	edge-sjsht	69.0	8.92379136E8	
2017-03-11-18:29:00	edge-sjsht	69.0	8.92379136E8	
2017-03-11-18:28:00	edge-sjsht	57.0	8.90691584E8	
2017-03-11-18:28:00	edge-sjsht	57.0	8.90691584E8	
2017-03-11-18:27:00	edge-sjsht	56.0	8.90540032E8	
2017-03-11-18:27:00	edge-sjsht	56.0	8.90540032E8	
2017-03-11-18:26:00	edge-sjsht	52.0	8.89421824E8	
2017-03-11-18:26:00	edge-sjsht	52.0	8.89421824E8	
2017-03-11-18:25:00	edge-sjsht	39.0	8.88188928E8	
2017-03-11-18:25:00	edge-sjsht	39.0	8.88188928E8	
2017-03-11-18:24:00	edge-sjsht	39.0	8.88365056E8	
2017-03-11-18:24:00	edge-sjsht	39.0	8.88365056E8	
2017-03-11-18:23:00	edge-sjsht	36.0	8.87717888E8	
2017-03-11-18:23:00	edge-sjsht	36.0	8.87717888E8	
2017-03-11-18:22:00	edge-sjsht	27.0	8.87717888E8	
2017-03-11-18:22:00	edge-sjsht	27.0	8.87717888E8	
2017-03-11-18:21:00	edge-sjsht	25.0	8.86808576E8	
2017-03-11-18:21:00	edge-sjsht	25.0	8.86808576E8	
2017-03-11-18:20:00	edge-sjsht	22.0	8.87017472E8	
2017-03-11-18:20:00	edge-sjsht	22.0	8.87017472E8	
2017-03-11-18:19:00	edge-sjsht	13.0	8.86976512E8	
2017-03-11-18:19:00	edge-sjsht	13.0	8.86976512E8	
2017-03-11-18:18:00	edge-sjsht	11.0	8.85604352E8	
2017-03-11-18:18:00	edge-sjsht	11.0	8.85604352E8	
2017-03-11-18:17:00	edge-sjsht	10.0	8.8578048E8	
2017-03-11-18:17:00	edge-sjsht	10.0	8.8578048E8	
2017-03-11-18:16:00	edge-sjsht	7.0	8.85907456E8	
2017-03-11-18:16:00	edge-sjsht	7.0	8.85907456E8	
2017-03-11-18:15:00	edge-sjsht	7.0	8.85956608E8	
2017-03-11-18:15:00	edge-sjsht	7.0	8.85956608E8	
2017-03-11-18:14:00	edge-sjsht	5.0	8.85956608E8	
2017-03-11-18:14:00	edge-sjsht	5.0	8.85956608E8	
2017-03-11-18:13:00	edge-sjsht	3.0	8.86136832E8	
2017-03-11-18:13:00	edge-sjsht	3.0	8.86136832E8	
2017-03-11-18:12:00	edge-sjsht	2.0	8.86136832E8	
2017-03-11-18:12:00	edge-sjsht	2.0	8.86136832E8	
2017-03-11-18:11:00	edge-sjsht	2.0	8.864768E8	
2017-03-11-18:11:00	edge-sjsht	2.0	8.864768E8	
2017-03-11-18:10:00	edge-sjsht	2.0	8.86329344E8	
2017-03-11-18:10:00	edge-sjsht	2.0	8.86329344E8	
2017-03-11-18:09:00	edge-sjsht	2.0	8.86505472E8	
2017-03-11-18:09:00	edge-sjsht	2.0	8.86505472E8	
